name,release_date,required_age,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,average_completion_time,developers
Heroes of a Broken Land,2014-08-07,0,RPG;Indie;Dungeon Crawler,122,22,0.00,0.00,0-20000,10.99,89.00,Winged Pixel
Euro Fishing,2015-11-02,0,Fishing;Simulation;Sports,896,571,0.00,0.00,50000-100000,14.99,28.50,Dovetail Games
Paper Monsters Recut,2014-10-23,0,Adventure;Platformer;Family Friendly,25,11,0.00,0.00,0-20000,5.59,3.00,Mobot Studios
Kyn,2015-07-28,0,Action;RPG;Adventure,75,42,0.00,0.00,0-20000,14.99,12.50,Tangrin Entertainment
The Thin Silence,2018-04-27,0,Indie;Adventure;Casual,17,2,0.00,0.00,0-20000,7.19,4.00,TwoPM Studios
Mighty No. 9,2016-06-23,0,Action;Platformer;Anime,1367,1389,0.47,0.47,200000-500000,15.99,5.50,"Comcept, Inti Creates"
Silence,2016-11-15,0,Adventure;Indie;Point & Click,1044,173,1.62,2.43,100000-200000,16.99,6.00,Daedalic Entertainment
Randal's Monday,2014-11-12,0,Adventure;Indie;Point & Click,637,199,0.22,0.22,100000-200000,14.99,16.00,Nexus Game Studios
Blackguards 2,2015-01-20,0,RPG;Strategy;Turn-Based,490,247,2.52,2.63,200000-500000,11.49,24.50,Daedalic Entertainment
Blob From Space,2014-10-15,0,Early Access;Casual;Indie,25,95,3.53,4.40,20000-50000,4.99,0.25,JosPlays
Woah Dave!,2014-10-30,0,Action;Indie;Multiplayer,77,23,2.10,2.10,20000-50000,3.99,2.00,MiniVisions
Skilltree Saga,2014-12-04,0,RPG;Casual;Adventure,48,101,0.00,0.00,20000-50000,6.99,12.00,Silent Dreams
A.R.E.S. Extinction Agenda EX,2014-10-03,0,Action;Indie;Platformer,131,38,0.00,0.00,0-20000,7.19,4.00,Extend Studio
Polarity,2016-07-15,0,Puzzle;Indie;First-Person,3932,942,2.60,2.25,500000-1000000,10.29,1.50,Bluebutton Games
Bliss,2014-12-08,0,Indie;Adventure;2D,29,18,0.00,0.00,0-20000,3.99,3.00,Team Bliss
Dig or Die,2018-07-10,0,Survival;Sandbox;Crafting,2777,285,0.00,0.00,100000-200000,9.29,10.00,Gaddy Games
Spud's Quest,2014-07-31,0,Adventure;Indie;Action,22,6,0.00,0.00,0-20000,5.59,9.50,Chris Davis
Deep Under the Sky,2014-08-22,0,Indie;Casual;Action,35,17,0.00,0.00,20000-50000,6.99,2.50,Northway Games
Amazing Princess Sarah,2014-08-18,0,Indie;Platformer;Action,129,66,0.00,0.00,0-20000,3.99,4.50,Haruneko Entertainment
Celestian Tales: Old North,2015-08-10,0,RPG;Indie;JRPG,230,106,4.62,4.62,20000-50000,10.29,7.50,Ekuator Games
Bravada,2014-08-22,0,RPG;Strategy;Indie,47,9,0.00,0.00,50000-100000,6.99,6.50,Interbellum Team
